[2020-01-29 11:54:32] Linux 4.15.0-76-generic (lc-server.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/29/20 	_x86_64_	(16 CPU)
[2020-01-29 11:54:33] 
[2020-01-29 11:54:33] 11:54:32      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-29 11:56:14] 11:56:14    20001     22897      9.00      0.00 1741240  543748   4.43  node /users/dyv
[2020-01-29 11:56:15] 11:56:15    20001     22897     34.00      0.00 1741240  540988   4.40  node /users/dyv
[2020-01-29 11:56:16] 11:56:16    20001     22897    351.00      0.00 1741240  540396   4.40  node /users/dyv
[2020-01-29 11:56:17] 11:56:17    20001     22897    189.00      0.00 1741240  541048   4.40  node /users/dyv
[2020-01-29 11:56:18] 11:56:18    20001     22897    200.00      0.00 1741240  540792   4.40  node /users/dyv
[2020-01-29 11:56:19] 11:56:19    20001     22897    205.00      0.00 1741240  540548   4.40  node /users/dyv
[2020-01-29 11:56:20] 11:56:20    20001     22897   1447.00      0.00 1743800  544132   4.43  node /users/dyv
[2020-01-29 11:56:21] 11:56:21    20001     22897    173.00      0.00 1743800  544604   4.43  node /users/dyv
[2020-01-29 11:56:22] 11:56:22    20001     22897    709.00      0.00 1745848  547352   4.46  node /users/dyv
[2020-01-29 11:56:23] 11:56:23    20001     22897   5276.00      0.00 1745336  547976   4.46  node /users/dyv
[2020-01-29 11:56:24] 11:56:24    20001     22897    136.00      0.00 1745336  548456   4.46  node /users/dyv
[2020-01-29 11:56:25] 11:56:25    20001     22897      0.00      0.00 1745336  548456   4.46  node /users/dyv
[2020-01-29 11:56:26] 11:56:26    20001     22897      8.00      0.00 1745336  548456   4.46  node /users/dyv
[2020-01-29 11:56:27] 11:56:27    20001     22897      0.00      0.00 1745336  548456   4.46  node /users/dyv
[2020-01-29 11:56:28] 11:56:28    20001     22897      2.00      0.00 1745336  548676   4.47  node /users/dyv
[2020-01-29 11:56:29] 11:56:29    20001     22897    826.00      0.00 1746360  547768   4.46  node /users/dyv
[2020-01-29 11:56:30] 11:56:30    20001     22897  14016.00      0.00 1745848  549248   4.47  node /users/dyv
[2020-01-29 11:56:31] 11:56:31    20001     22897     45.00      0.00 1741752  549248   4.47  node /users/dyv
[2020-01-29 11:56:32] 11:56:32    20001     22897    673.00      0.00 1744312  551852   4.49  node /users/dyv
[2020-01-29 11:56:33] 11:56:33    20001     22897    907.00      0.00 1747384  554956   4.52  node /users/dyv
[2020-01-29 11:56:34] 11:56:34    20001     22897      3.00      0.00 1747384  554956   4.52  node /users/dyv
[2020-01-29 11:56:35] 11:56:35    20001     22897    292.00      0.00 1747384  555040   4.52  node /users/dyv
[2020-01-29 11:56:36] 11:56:36    20001     22897      1.00      0.00 1747384  555040   4.52  node /users/dyv
[2020-01-29 11:56:37] 11:56:37    20001     22897      1.00      0.00 1747384  555040   4.52  node /users/dyv
[2020-01-29 11:56:38] 11:56:38    20001     22897      3.00      0.00 1747384  555040   4.52  node /users/dyv
[2020-01-29 11:56:39] 11:56:39    20001     22897      1.00      0.00 1747384  555040   4.52  node /users/dyv
[2020-01-29 11:56:40] 11:56:40    20001     22897      1.00      0.00 1747384  555040   4.52  node /users/dyv
[2020-01-29 11:56:41] 11:56:41    20001     22897      0.00      0.00 1747384  555040   4.52  node /users/dyv
[2020-01-29 11:56:42] 11:56:42    20001     22897      2.00      0.00 1747384  555040   4.52  node /users/dyv
[2020-01-29 11:56:43] 11:56:43    20001     22897     59.00      0.00 1747384  555040   4.52  node /users/dyv
[2020-01-29 11:56:44] 11:56:44    20001     22897      0.00      0.00 1747384  555040   4.52  node /users/dyv
[2020-01-29 11:56:45] 11:56:45    20001     22897      1.00      0.00 1747384  555040   4.52  node /users/dyv
[2020-01-29 11:56:46] 11:56:46    20001     22897      0.00      0.00 1747384  555040   4.52  node /users/dyv
[2020-01-29 11:56:47] 11:56:47    20001     22897    331.00      0.00 1740216  538548   4.38  node /users/dyv
[2020-01-29 11:56:48] 11:56:48    20001     22897   1552.00      0.00 1742776  542364   4.42  node /users/dyv
[2020-01-29 11:56:49] 11:56:49    20001     22897     78.00      0.00 1742776  542364   4.42  node /users/dyv
[2020-01-29 11:56:50] 11:56:50    20001     22897    161.00      0.00 1742776  543016   4.42  node /users/dyv
[2020-01-29 11:56:51] 11:56:51    20001     22897    606.00      0.00 1742776  545128   4.44  node /users/dyv
[2020-01-29 11:56:52] 11:56:52    20001     22897     21.00      0.00 1742776  545384   4.44  node /users/dyv
