[2020-01-29 14:02:20] Linux 4.15.0-76-generic (lc-server.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/29/20 	_x86_64_	(16 CPU)
[2020-01-29 14:02:21] 
[2020-01-29 14:02:21] 14:02:20      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-29 14:03:54] 14:03:54    20001     22897    139.00      0.00 1687788  490604   3.99  node /users/dyv
[2020-01-29 14:03:55] 14:03:55    20001     22897    127.00      0.00 1687788  491132   4.00  node /users/dyv
[2020-01-29 14:03:56] 14:03:56    20001     22897    149.00      0.00 1687788  491924   4.00  node /users/dyv
[2020-01-29 14:03:57] 14:03:57    20001     22897    129.00      0.00 1687788  492452   4.01  node /users/dyv
[2020-01-29 14:03:58] 14:03:58    20001     22897    147.00      0.00 1687788  492980   4.01  node /users/dyv
[2020-01-29 14:03:59] 14:03:59    20001     22897    126.00      0.00 1687788  493508   4.02  node /users/dyv
[2020-01-29 14:04:00] 14:04:00    20001     22897    881.00      0.00 1687788  496744   4.04  node /users/dyv
[2020-01-29 14:04:01] 14:04:01    20001     22897    153.00      0.00 1687788  497272   4.05  node /users/dyv
[2020-01-29 14:04:02] 14:04:02    20001     22897    140.00      0.00 1687788  497800   4.05  node /users/dyv
[2020-01-29 14:04:03] 14:04:03    20001     22897    128.00      0.00 1687788  498328   4.06  node /users/dyv
[2020-01-29 14:04:04] 14:04:04    20001     22897    112.00      0.00 1687788  498856   4.06  node /users/dyv
[2020-01-29 14:04:05] 14:04:05    20001     22897     69.00      0.00 1687788  498968   4.06  node /users/dyv
[2020-01-29 14:04:06] 14:04:06    20001     22897     20.00      0.00 1687788  498968   4.06  node /users/dyv
[2020-01-29 14:04:07] 14:04:07    20001     22897      0.00      0.00 1687788  498968   4.06  node /users/dyv
[2020-01-29 14:04:08] 14:04:08    20001     22897     24.00      0.00 1687788  498968   4.06  node /users/dyv
[2020-01-29 14:04:09] 14:04:09    20001     22897      0.00      0.00 1687788  498968   4.06  node /users/dyv
[2020-01-29 14:04:10] 14:04:10    20001     22897     14.00      0.00 1687788  498968   4.06  node /users/dyv
[2020-01-29 14:04:11] 14:04:11    20001     22897      0.00      0.00 1687788  498968   4.06  node /users/dyv
[2020-01-29 14:04:12] 14:04:12    20001     22897    102.00      0.00 1687788  499188   4.06  node /users/dyv
[2020-01-29 14:04:13] 14:04:13    20001     22897    133.00      0.00 1687788  499716   4.07  node /users/dyv
[2020-01-29 14:04:14] 14:04:14    20001     22897     20.00      0.00 1687788  499960   4.07  node /users/dyv
[2020-01-29 14:04:15] 14:04:15    20001     22897     22.00      0.00 1687788  499960   4.07  node /users/dyv
[2020-01-29 14:04:16] 14:04:16    20001     22897    130.00      0.00 1687788  500476   4.07  node /users/dyv
[2020-01-29 14:04:17] 14:04:17    20001     22897    146.00      0.00 1687788  501004   4.08  node /users/dyv
[2020-01-29 14:04:18] 14:04:18    20001     22897    128.00      0.00 1687788  501532   4.08  node /users/dyv
[2020-01-29 14:04:19] 14:04:19    20001     22897    146.00      0.00 1687788  502060   4.09  node /users/dyv
[2020-01-29 14:04:20] 14:04:20    20001     22897    129.00      0.00 1687788  502588   4.09  node /users/dyv
[2020-01-29 14:04:21] 14:04:21    20001     22897    146.00      0.00 1687788  503380   4.10  node /users/dyv
[2020-01-29 14:04:22] 14:04:22    20001     22897    132.00      0.00 1687788  503908   4.10  node /users/dyv
[2020-01-29 14:04:23] 14:04:23    20001     22897    146.00      0.00 1687788  504436   4.11  node /users/dyv
[2020-01-29 14:04:24] 14:04:24    20001     22897    139.00      0.00 1687788  504964   4.11  node /users/dyv
[2020-01-29 14:04:25] 14:04:25    20001     22897    153.00      0.00 1687788  505492   4.11  node /users/dyv
